dataset,batch,budget,cap,n,both_known,delta_lower,delta_upper,ci_lower,ci_upper
trec-covid-chrono-r1,1,256,100,30,1.0,0.43333333333333335,0.43333333333333335,0.2,0.7008333333333288
trec-covid-chrono-r1,1,512,20,30,1.0,0.26666666666666666,0.26666666666666666,0.1,0.4666666666666667
trec-covid-chrono-r1,1,512,100,30,1.0,0.9,0.9,0.4,1.6666666666666667
trec-covid-chrono-r1,1,1024,20,30,1.0,0.36666666666666664,0.36666666666666664,0.03333333333333333,0.8333333333333334
trec-covid-chrono-r1,1,1024,100,30,1.0,1.4,1.4,0.7666666666666667,2.2
trec-covid-chrono-r1,1,2048,20,30,1.0,0.3,0.3,0.03333333333333333,0.7333333333333333
trec-covid-chrono-r1,1,2048,100,30,1.0,2.3,2.3,1.1,3.7666666666666666
trec-covid-chrono-r1,1,4096,20,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,1,4096,100,30,1.0,4.133333333333334,4.133333333333334,1.8,7.034166666666662
trec-covid-chrono-r1,1,8192,20,30,0.5,0.0,0.6666666666666666,0.0,1.6
trec-covid-chrono-r1,1,8192,100,30,0.5,2.6,30.066666666666666,0.4,41.53666666666665
trec-covid-chrono-r1,1,10000,20,30,0.23333333333333334,0.0,0.6666666666666666,0.0,1.534999999999991
trec-covid-chrono-r1,1,10000,100,30,0.23333333333333334,0.0,38.166666666666664,0.0,49.63333333333333
trec-covid-chrono-r1,64,128,20,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,64,128,100,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,64,256,20,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,64,256,100,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,64,512,20,30,1.0,0.1,0.1,0.0,0.23333333333333334
trec-covid-chrono-r1,64,512,100,30,1.0,0.5,0.5,0.06666666666666667,1.2333333333333334
trec-covid-chrono-r1,64,1024,20,30,1.0,0.26666666666666666,0.26666666666666666,0.03333333333333333,0.6333333333333333
trec-covid-chrono-r1,64,1024,100,30,1.0,1.1666666666666667,1.1666666666666667,0.6,1.834166666666662
trec-covid-chrono-r1,64,2048,20,30,1.0,0.23333333333333334,0.23333333333333334,0.0,0.6666666666666666
trec-covid-chrono-r1,64,2048,100,30,1.0,2.2,2.2,1.0325000000000002,3.767499999999995
trec-covid-chrono-r1,64,4096,20,30,1.0,0.0,0.0,0.0,0.0
trec-covid-chrono-r1,64,4096,100,30,1.0,4.1,4.1,1.7666666666666666,7.0674999999999955
trec-covid-chrono-r1,64,8192,20,30,0.5,0.0,0.6666666666666666,0.0,1.6
trec-covid-chrono-r1,64,8192,100,30,0.5,2.6,30.066666666666666,0.4,41.500833333333325
trec-covid-chrono-r1,64,10000,20,30,0.23333333333333334,0.0,0.6666666666666666,0.0,1.6
trec-covid-chrono-r1,64,10000,100,30,0.23333333333333334,0.0,38.166666666666664,0.0,50.13416666666666
trec-covid-chrono-r2,1,128,20,30,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.3
trec-covid-chrono-r2,1,128,100,30,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.3
trec-covid-chrono-r2,1,256,20,30,1.0,0.36666666666666664,0.36666666666666664,0.16666666666666666,0.6
trec-covid-chrono-r2,1,256,100,30,1.0,0.6,0.6,0.26666666666666666,1.0
trec-covid-chrono-r2,1,512,20,30,1.0,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.4666666666666667
trec-covid-chrono-r2,1,512,100,30,1.0,0.7,0.7,0.3333333333333333,1.1333333333333333
trec-covid-chrono-r2,1,1024,20,30,1.0,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.5333333333333333
trec-covid-chrono-r2,1,1024,100,30,1.0,1.2333333333333334,1.2333333333333334,0.6666666666666666,1.8666666666666667
trec-covid-chrono-r2,1,2048,20,30,1.0,0.36666666666666664,0.36666666666666664,0.1,0.7008333333333288
trec-covid-chrono-r2,1,2048,100,30,1.0,2.3,2.3,1.0666666666666667,3.8333333333333335
trec-covid-chrono-r2,1,4096,20,30,1.0,0.2,0.2,0.03333333333333333,0.4
trec-covid-chrono-r2,1,4096,100,30,1.0,3.533333333333333,3.533333333333333,1.6333333333333333,5.9
trec-covid-chrono-r2,1,8192,20,30,0.3333333333333333,0.2,1.0,0.0,2.3666666666666667
trec-covid-chrono-r2,1,8192,100,30,0.3333333333333333,3.1,44.1,1.0666666666666667,55.66749999999999
trec-covid-chrono-r2,1,10000,20,30,0.06666666666666667,0.0,1.1,0.0,2.402499999999986
trec-covid-chrono-r2,1,10000,100,30,0.06666666666666667,-1.5333333333333334,54.36666666666667,-4.6,63.900833333333324
trec-covid-chrono-r2,64,128,20,30,1.0,0.0,0.0,0.0,0.0
