dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
scifact,balanced,64,512,300,1.0,25.26,25.26,17.663333333333334,17.663333333333334,23.0,11.0,0.0,0.0,0.93,0.93,0.65,0.65
scifact,balanced,64,1024,300,1.0,33.763333333333335,33.763333333333335,18.81,18.81,31.0,14.0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.81,0.81
scifact,balanced,64,2048,300,1.0,43.55,43.55,19.436666666666667,19.436666666666667,39.0,18.0,0.0,0.0,1.0,1.0,0.8733333333333333,0.8733333333333333
scifact,balanced,64,4096,300,1.0,59.09,59.09,19.803333333333335,19.803333333333335,54.0,22.0,0.0,0.0,1.0,1.0,0.95,0.95
scifact,balanced,64,8192,300,0.9733333333333334,98.04,98.46,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,balanced,64,10000,300,0.9633333333333334,99.21333333333334,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,dibud,1,128,300,1.0,11.743333333333334,11.743333333333334,11.24,11.24,11.0,5.0,0.0033333333333333335,0.0033333333333333335,0.57,0.57,0.11333333333333333,0.11333333333333333
scifact,dibud,1,256,300,1.0,18.266666666666666,18.266666666666666,15.283333333333333,15.283333333333333,17.0,8.0,0.0,0.0,0.8433333333333334,0.8433333333333334,0.4,0.4
scifact,dibud,1,512,300,1.0,26.483333333333334,26.483333333333334,17.836666666666666,17.836666666666666,25.0,11.0,0.0,0.0,0.9366666666666666,0.9366666666666666,0.68,0.68
scifact,dibud,1,1024,300,1.0,35.79,35.79,18.903333333333332,18.903333333333332,33.0,14.0,0.0,0.0,0.98,0.98,0.8233333333333334,0.8233333333333334
scifact,dibud,1,2048,300,1.0,47.26,47.26,19.573333333333334,19.573333333333334,40.5,19.900000000000002,0.0,0.0,1.0,1.0,0.9,0.9
scifact,dibud,1,4096,300,1.0,65.41,65.41,19.843333333333334,19.843333333333334,66.0,26.900000000000002,0.0,0.0,1.0,1.0,0.9566666666666667,0.9566666666666667
scifact,dibud,1,8192,300,0.97,98.75666666666666,99.19333333333333,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,dibud,1,10000,300,0.9633333333333334,99.21333333333334,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,dibud,64,128,300,1.0,11.236666666666666,11.236666666666666,10.866666666666667,10.866666666666667,10.0,5.0,0.0033333333333333335,0.0033333333333333335,0.5466666666666666,0.5466666666666666,0.08666666666666667,0.08666666666666667
scifact,dibud,64,256,300,1.0,17.536666666666665,17.536666666666665,15.053333333333333,15.053333333333333,16.0,7.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.38,0.38
scifact,dibud,64,512,300,1.0,25.743333333333332,25.743333333333332,17.703333333333333,17.703333333333333,24.0,11.0,0.0,0.0,0.93,0.93,0.6633333333333333,0.6633333333333333
scifact,dibud,64,1024,300,1.0,35.44,35.44,18.873333333333335,18.873333333333335,32.5,14.0,0.0,0.0,0.98,0.98,0.8233333333333334,0.8233333333333334
scifact,dibud,64,2048,300,1.0,47.14,47.14,19.57,19.57,40.5,19.0,0.0,0.0,1.0,1.0,0.8966666666666666,0.8966666666666666
scifact,dibud,64,4096,300,1.0,65.32666666666667,65.32666666666667,19.843333333333334,19.843333333333334,65.0,26.900000000000002,0.0,0.0,1.0,1.0,0.9566666666666667,0.9566666666666667
scifact,dibud,64,8192,300,0.97,98.75666666666666,99.19333333333333,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,dibud,64,10000,300,0.9633333333333334,99.21333333333334,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
trec-covid,balanced,1,128,50,1.0,5.66,5.66,5.66,5.66,5.0,1.0,0.06,0.06,0.24,0.24,0.0,0.0
trec-covid,balanced,1,256,50,1.0,9.84,9.84,9.52,9.52,8.0,3.0,0.0,0.0,0.42,0.42,0.08,0.08
trec-covid,balanced,1,512,50,1.0,14.28,14.28,12.32,12.32,12.0,3.9000000000000004,0.0,0.0,0.62,0.62,0.28,0.28
