dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
trec-covid-chrono-r1,1,17,200,400,0.8913696435738849,0.8913696435738849,1,1.0
trec-covid-chrono-r1,1,17,500,1000,0.8913696435738849,0.8913696435738849,1,1.0
trec-covid-chrono-r1,1,17,1000,2000,0.8913696435738849,0.8913696435738849,1,1.0
trec-covid-chrono-r1,1,17,2000,4000,0.8913696435738849,0.8913696435738849,1,1.0
trec-covid-chrono-r1,1,17,5000,10000,0.8913696435738849,0.8913696435738849,1,1.0
trec-covid-chrono-r2,2,15,10,20,0.24969579131638178,0.25606569883520447,0,0.7
trec-covid-chrono-r2,2,15,20,40,0.24969579131638178,0.25606569883520447,0,0.7
trec-covid-chrono-r2,2,15,50,100,0.24969579131638178,0.25606569883520447,0,0.7
trec-covid-chrono-r2,2,15,100,200,0.24969579131638178,0.25606569883520447,0,0.7
trec-covid-chrono-r2,2,15,200,400,0.3534133657059562,0.25606569883520447,0,0.75
trec-covid-chrono-r2,2,15,500,1000,0.3114914393387184,0.25606569883520447,0,0.9
trec-covid-chrono-r2,2,15,1000,2000,0.25409934875391305,0.25606569883520447,0,0.95
trec-covid-chrono-r2,2,15,2000,4000,0.25409934875391305,0.25606569883520447,0,1.0
trec-covid-chrono-r2,2,15,5000,10000,0.25409934875391305,0.25606569883520447,0,1.0
trec-covid-chrono-r2,2,3,10,20,0.45605767792792884,0.7393614210213836,0,0.55
trec-covid-chrono-r2,2,3,20,40,0.6052130671959173,0.7393614210213836,0,0.55
trec-covid-chrono-r2,2,3,50,100,0.6375595291540206,0.7393614210213836,0,0.6
trec-covid-chrono-r2,2,3,100,200,0.7711718151208595,0.7393614210213836,0,0.7
trec-covid-chrono-r2,2,3,200,400,0.7393614210213836,0.7393614210213836,0,0.95
trec-covid-chrono-r2,2,3,500,1000,0.7393614210213836,0.7393614210213836,1,1.0
trec-covid-chrono-r2,2,3,1000,2000,0.7393614210213836,0.7393614210213836,1,1.0
trec-covid-chrono-r2,2,3,2000,4000,0.7393614210213836,0.7393614210213836,1,1.0
trec-covid-chrono-r2,2,3,5000,10000,0.7393614210213836,0.7393614210213836,1,1.0
trec-covid-chrono-r3,3,2,10,20,0.4674975726374815,0.7909506325094736,0,0.65
trec-covid-chrono-r3,3,2,20,40,0.46945447024602915,0.7909506325094736,0,0.65
trec-covid-chrono-r3,3,2,50,100,0.6528642754944294,0.7909506325094736,0,0.65
trec-covid-chrono-r3,3,2,100,200,0.9305687780632227,0.7909506325094736,0,0.9
trec-covid-chrono-r3,3,2,200,400,0.9305687780632227,0.7909506325094736,0,0.9
trec-covid-chrono-r3,3,2,500,1000,0.7909506325094736,0.7909506325094736,0,0.95
trec-covid-chrono-r3,3,2,1000,2000,0.7909506325094736,0.7909506325094736,0,0.95
trec-covid-chrono-r3,3,2,2000,4000,0.7909506325094736,0.7909506325094736,0,0.95
trec-covid-chrono-r3,3,2,5000,10000,0.7909506325094736,0.7909506325094736,1,1.0
trec-covid-chrono-r3,3,15,10,20,0.24029610769443033,0.34799097539738577,0,0.9
trec-covid-chrono-r3,3,15,20,40,0.24029610769443033,0.34799097539738577,0,0.9
trec-covid-chrono-r3,3,15,50,100,0.24029610769443033,0.34799097539738577,0,0.9
trec-covid-chrono-r3,3,15,100,200,0.24029610769443033,0.34799097539738577,0,0.9
trec-covid-chrono-r3,3,15,200,400,0.24029610769443033,0.34799097539738577,0,0.95
trec-covid-chrono-r3,3,15,500,1000,0.24029610769443033,0.34799097539738577,0,0.95
trec-covid-chrono-r3,3,15,1000,2000,0.24029610769443033,0.34799097539738577,0,0.95
trec-covid-chrono-r3,3,15,2000,4000,0.2868873606380917,0.34799097539738577,0,0.95
trec-covid-chrono-r3,3,15,5000,10000,0.28437018719843404,0.34799097539738577,0,1.0
trec-covid-chrono-r4,4,5,10,20,0.6311440561134205,0.7056740334630792,0,0.5
trec-covid-chrono-r4,4,5,20,40,0.7219997203203886,0.7056740334630792,0,0.55
trec-covid-chrono-r4,4,5,50,100,0.708579250331992,0.7056740334630792,0,0.75
trec-covid-chrono-r4,4,5,100,200,0.7056740334630792,0.7056740334630792,0,0.9
trec-covid-chrono-r4,4,5,200,400,0.7056740334630792,0.7056740334630792,0,0.95
trec-covid-chrono-r4,4,5,500,1000,0.7056740334630792,0.7056740334630792,1,1.0
trec-covid-chrono-r4,4,5,1000,2000,0.7056740334630792,0.7056740334630792,1,1.0
trec-covid-chrono-r4,4,5,2000,4000,0.7056740334630792,0.7056740334630792,1,1.0
trec-covid-chrono-r4,4,5,5000,10000,0.7056740334630792,0.7056740334630792,1,1.0
trec-covid-chrono-r4,4,4,10,20,0.2462792422025983,0.5087655161157055,0,0.7
trec-covid-chrono-r4,4,4,20,40,0.2462792422025983,0.5087655161157055,0,0.7
trec-covid-chrono-r4,4,4,50,100,0.43562277000443955,0.5087655161157055,0,0.75
trec-covid-chrono-r4,4,4,100,200,0.47422986604907463,0.5087655161157055,0,0.85
trec-covid-chrono-r4,4,4,200,400,0.6129021564317135,0.5087655161157055,0,0.95
trec-covid-chrono-r4,4,4,500,1000,0.5405759102151814,0.5087655161157055,0,0.9
trec-covid-chrono-r4,4,4,1000,2000,0.5087655161157055,0.5087655161157055,0,0.9
trec-covid-chrono-r4,4,4,2000,4000,0.5087655161157055,0.5087655161157055,0,0.95
trec-covid-chrono-r4,4,4,5000,10000,0.5087655161157055,0.5087655161157055,1,1.0
trec-covid-chrono-r5,5,25,10,20,0.7065836017263628,0.9266360779006398,0,0.4
trec-covid-chrono-r5,5,25,20,40,0.7183627972686238,0.9266360779006398,0,0.45
trec-covid-chrono-r5,5,25,50,100,0.9266360779006398,0.9266360779006398,0,0.8
trec-covid-chrono-r5,5,25,100,200,0.9266360779006398,0.9266360779006398,0,0.85
trec-covid-chrono-r5,5,25,200,400,0.9266360779006398,0.9266360779006398,1,1.0
trec-covid-chrono-r5,5,25,500,1000,0.9266360779006398,0.9266360779006398,1,1.0
trec-covid-chrono-r5,5,25,1000,2000,0.9266360779006398,0.9266360779006398,1,1.0
trec-covid-chrono-r5,5,25,2000,4000,0.9266360779006398,0.9266360779006398,1,1.0
trec-covid-chrono-r5,5,25,5000,10000,0.9266360779006398,0.9266360779006398,1,1.0
trec-covid-chrono-r5,5,23,10,20,0.7273298443105218,0.8967920338824553,0,0.25
trec-covid-chrono-r5,5,23,20,40,0.7273298443105218,0.8967920338824553,0,0.25
trec-covid-chrono-r5,5,23,50,100,0.8701249883466592,0.8967920338824553,0,0.35
trec-covid-chrono-r5,5,23,100,200,0.8967920338824553,0.8967920338824553,0,0.7
trec-covid-chrono-r5,5,23,200,400,0.8967920338824553,0.8967920338824553,0,0.95
trec-covid-chrono-r5,5,23,500,1000,0.8967920338824553,0.8967920338824553,0,1.0
trec-covid-chrono-r5,5,23,1000,2000,0.8967920338824553,0.8967920338824553,0,1.0
trec-covid-chrono-r5,5,23,2000,4000,0.8967920338824553,0.8967920338824553,0,1.0
trec-covid-chrono-r5,5,23,5000,10000,0.8967920338824553,0.8967920338824553,1,1.0
