dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,915593,128,balanced_cert,100,0.5271064966405455,0.500905095890774,0.043478260869565216
msmarco-passage-trec-dl-2019,264014,128,balanced_cert,20,0.7398561960831481,0.6218821188499842,0.04265402843601896
msmarco-passage-trec-dl-2019,264014,128,balanced_cert,100,0.7398561960831481,0.6218821188499842,0.04265402843601896
msmarco-passage-trec-dl-2019,1121402,128,balanced_cert,20,0.9652843890316114,0.9537125187088151,0.43478260869565216
msmarco-passage-trec-dl-2019,1121402,128,balanced_cert,100,0.9652843890316114,0.9537125187088151,0.4782608695652174
msmarco-passage-trec-dl-2019,962179,128,balanced_cert,20,0.35895421017163465,0.3589542101716347,0.08
msmarco-passage-trec-dl-2019,962179,128,balanced_cert,100,0.35895421017163465,0.3589542101716347,0.08
msmarco-passage-trec-dl-2019,1117099,128,balanced_cert,20,1.0,1.0,0.10084033613445378
msmarco-passage-trec-dl-2019,1117099,128,balanced_cert,100,1.0,1.0,0.10084033613445378
msmarco-passage-trec-dl-2019,148538,128,balanced_cert,20,0.454279002618889,0.45659106898530377,0.04950495049504951
msmarco-passage-trec-dl-2019,148538,128,balanced_cert,100,0.454279002618889,0.45659106898530377,0.04950495049504951
msmarco-passage-trec-dl-2019,451602,128,balanced_cert,20,0.3462850666626048,0.2474086935462378,0.025974025974025976
msmarco-passage-trec-dl-2019,451602,128,balanced_cert,100,0.3462850666626048,0.2474086935462378,0.025974025974025976
msmarco-passage-trec-dl-2019,359349,128,balanced_cert,20,0.8397728661031808,0.7253249133197388,0.32142857142857145
msmarco-passage-trec-dl-2019,359349,128,balanced_cert,100,0.8397728661031808,0.7253249133197388,0.32142857142857145
msmarco-passage-trec-dl-2019,1115776,128,balanced_cert,20,0.7552027838055048,0.7501276406848634,0.4583333333333333
msmarco-passage-trec-dl-2019,1115776,128,balanced_cert,100,0.7552027838055048,0.7501276406848634,0.4583333333333333
msmarco-passage-trec-dl-2019,1112341,128,balanced_cert,20,0.5811016176332819,0.541065358950208,0.035211267605633804
msmarco-passage-trec-dl-2019,1112341,128,balanced_cert,100,0.5811016176332819,0.541065358950208,0.035211267605633804
msmarco-passage-trec-dl-2019,131843,128,balanced_cert,20,0.7917267193679839,0.7917267193679839,0.109375
msmarco-passage-trec-dl-2019,131843,128,balanced_cert,100,0.7917267193679839,0.7917267193679839,0.109375
msmarco-passage-trec-dl-2019,104861,128,balanced_cert,20,0.22009176629808017,0.22009176629808014,0.0070921985815602835
msmarco-passage-trec-dl-2019,104861,128,balanced_cert,100,0.22009176629808017,0.22009176629808014,0.0070921985815602835
msmarco-passage-trec-dl-2019,833860,128,balanced_cert,20,0.7928346677332121,0.7585884164662815,0.10666666666666667
msmarco-passage-trec-dl-2019,833860,128,balanced_cert,100,0.7928346677332121,0.7585884164662815,0.10666666666666667
msmarco-passage-trec-dl-2019,207786,128,balanced_cert,20,0.5245542131916595,0.42212304641184956,0.375
msmarco-passage-trec-dl-2019,207786,128,balanced_cert,100,0.5245542131916595,0.42212304641184956,0.375
msmarco-passage-trec-dl-2019,1114819,128,balanced_cert,20,0.8339096563431521,0.7152736965882608,0.03225806451612903
msmarco-passage-trec-dl-2019,1114819,128,balanced_cert,100,0.8339096563431521,0.7152736965882608,0.03225806451612903
msmarco-passage-trec-dl-2019,183378,128,balanced_cert,20,0.9432379215722527,0.9270201848786105,0.043668122270742356
msmarco-passage-trec-dl-2019,183378,128,balanced_cert,100,0.9432379215722527,0.9270201848786105,0.043668122270742356
msmarco-passage-trec-dl-2019,1106007,128,balanced_cert,20,0.6387054657546646,0.6300529383446851,0.08333333333333333
msmarco-passage-trec-dl-2019,1106007,128,balanced_cert,100,0.6387054657546646,0.6300529383446851,0.08333333333333333
msmarco-passage-trec-dl-2019,1124210,128,balanced_cert,20,0.16139724848992007,0.11173457664804616,0.007194244604316547
msmarco-passage-trec-dl-2019,1124210,128,balanced_cert,100,0.16139724848992007,0.11173457664804616,0.007194244604316547
msmarco-passage-trec-dl-2019,490595,128,balanced_cert,20,0.5016214442531799,0.38643934874817354,0.23636363636363636
msmarco-passage-trec-dl-2019,490595,128,balanced_cert,100,0.5016214442531799,0.38643934874817354,0.23636363636363636
msmarco-passage-trec-dl-2019,1103812,128,balanced_cert,20,0.4807243697053147,0.5378845679998934,0.0967741935483871
msmarco-passage-trec-dl-2019,1103812,128,balanced_cert,100,0.4807243697053147,0.5378845679998934,0.0967741935483871
msmarco-passage-trec-dl-2019,87181,128,balanced_cert,20,0.8113991730202814,0.7729868713934951,0.10843373493975904
msmarco-passage-trec-dl-2019,87181,128,balanced_cert,100,0.8113991730202814,0.7729868713934951,0.10843373493975904
msmarco-passage-trec-dl-2019,443396,128,balanced_cert,20,0.22009176629808014,0.22009176629808017,0.010638297872340425
msmarco-passage-trec-dl-2019,443396,128,balanced_cert,100,0.22009176629808014,0.22009176629808017,0.010638297872340425
msmarco-passage-trec-dl-2019,1121709,128,balanced_cert,20,0.31926484923530546,0.24200208883027782,0.25
