dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
nfcorpus,128,blocker_zero,20,0.3630357126674542,0.36441200886010966,0.21383974085487217
nfcorpus,128,blocker_zero,100,0.3630357126674542,0.36441200886010966,0.31259689014285563
nfcorpus,128,fixed_topL_zero,20,0.3627819475926578,0.36415824378531325,0.21365786676602835
nfcorpus,128,fixed_topL_zero,100,0.3627819475926578,0.36415824378531325,0.30922977420332604
nfcorpus,256,balanced_cert,20,0.35930743214001015,0.360705303442044,0.19443066010925283
nfcorpus,256,balanced_cert,100,0.35930743214001015,0.360705303442044,0.20920217130123622
nfcorpus,256,balanced_zero,20,0.3650270238501741,0.36644786475916347,0.21217632943128042
nfcorpus,256,balanced_zero,100,0.3650270238501741,0.36644786475916347,0.31532300459385865
nfcorpus,256,blocker_cert,20,0.35930743214001015,0.360705303442044,0.19443066010925283
nfcorpus,256,blocker_cert,100,0.35930743214001015,0.360705303442044,0.20933117026924447
nfcorpus,256,blocker_zero,20,0.3650270238501741,0.36644786475916347,0.21217632943128042
nfcorpus,256,blocker_zero,100,0.3650270238501741,0.36644786475916347,0.3150650066578421
nfcorpus,256,fixed_topL_zero,20,0.36356895310682835,0.36497331690410517,0.21315818540621986
nfcorpus,256,fixed_topL_zero,100,0.36356895310682835,0.36497331690410517,0.3150809846720945
nfcorpus,512,balanced_cert,20,0.3618213803051216,0.36323750154956724,0.20209836259151417
nfcorpus,512,balanced_cert,100,0.3618213803051216,0.36323750154956724,0.23323396912732258
nfcorpus,512,balanced_zero,20,0.3661901599979676,0.3676194723749738,0.21202126795783616
nfcorpus,512,balanced_zero,100,0.3661901599979676,0.3676194723749738,0.31609862452367643
nfcorpus,512,blocker_cert,20,0.3618213803051216,0.36323750154956724,0.20222736155952242
nfcorpus,512,blocker_cert,100,0.3618213803051216,0.36323750154956724,0.23414078960897286
nfcorpus,512,blocker_zero,20,0.3661901599979676,0.3676194723749738,0.21215026692584443
nfcorpus,512,blocker_zero,100,0.3661901599979676,0.3676194723749738,0.31559291215362667
nfcorpus,512,fixed_topL_zero,20,0.36522091149695385,0.36665022387396,0.21201685773670767
nfcorpus,512,fixed_topL_zero,100,0.36522091149695385,0.36665022387396,0.31612277543940454
nfcorpus,1024,balanced_cert,20,0.36342693935346276,0.36485625173046893,0.20644453738997262
nfcorpus,1024,balanced_cert,100,0.36342693935346276,0.36485625173046893,0.24989907184520987
nfcorpus,1024,balanced_zero,20,0.36619387943367865,0.3676231918106848,0.2129467245096691
nfcorpus,1024,balanced_zero,100,0.36619387943367865,0.3676231918106848,0.31634422461725675
nfcorpus,1024,blocker_cert,20,0.36342693935346276,0.36485625173046893,0.20665462142358607
nfcorpus,1024,blocker_cert,100,0.36342693935346276,0.36485625173046893,0.2511951372992816
nfcorpus,1024,blocker_zero,20,0.36619387943367865,0.3676231918106848,0.21309306787673726
nfcorpus,1024,blocker_zero,100,0.36619387943367865,0.3676231918106848,0.31644396022960636
nfcorpus,1024,fixed_topL_zero,20,0.3661901599979676,0.3676194723749738,0.21189127840778335
nfcorpus,1024,fixed_topL_zero,100,0.3661901599979676,0.3676194723749738,0.3163566772295172
nfcorpus,2048,balanced_cert,20,0.36630717082725384,0.36773648320426,0.2123265261221756
nfcorpus,2048,balanced_cert,100,0.36630717082725384,0.36773648320426,0.26981864358899094
nfcorpus,2048,balanced_zero,20,0.3665041392117707,0.3679334515887769,0.21314268286443275
nfcorpus,2048,balanced_zero,100,0.3665041392117707,0.3679334515887769,0.31668528235709753
nfcorpus,2048,blocker_cert,20,0.36630717082725384,0.36773648320426,0.2125003942964476
nfcorpus,2048,blocker_cert,100,0.36630717082725384,0.36773648320426,0.2736935005486322
nfcorpus,2048,blocker_zero,20,0.3665041392117707,0.3679334515887769,0.2132220668447455
nfcorpus,2048,blocker_zero,100,0.3665041392117707,0.3679334515887769,0.3166038379310401
nfcorpus,2048,fixed_topL_zero,20,0.36619387943367865,0.3676231918106848,0.21314268286443275
