dataset,query_id,policy,work_budget,dense_depth,sparse_depth,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,4096,2880,1216,0.703125,1664,74,0,-5.23468479514122e-05,3626,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,8192,5000,3192,0.6103515625,1808,75,0,-3.534369170665741e-05,7388,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,10000,5000,5000,0.5,0,75,0,-3.534369170665741e-05,9093,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,359349,balanced,128,64,64,0.5,0,21,0,-0.00021900609135627747,96,0.7253249133197388,0.7253249133197388,1.0,0.32142857142857145,0.6785714285714286,0.4736842105263158
msmarco-passage-trec-dl-2019,359349,balanced,256,128,128,0.5,0,34,0,-0.00012802332639694214,192,0.7253249133197388,0.7253249133197388,1.0,0.375,0.6785714285714286,0.5526315789473684
msmarco-passage-trec-dl-2019,359349,balanced,512,256,256,0.5,0,49,0,-4.484690725803375e-05,369,0.7253249133197388,0.7253249133197388,1.0,0.42857142857142855,0.6785714285714286,0.631578947368421
msmarco-passage-trec-dl-2019,359349,balanced,1024,512,512,0.5,0,66,0,-1.463666558265686e-05,706,0.7253249133197388,0.7253249133197388,1.0,0.5178571428571429,0.6785714285714286,0.7631578947368421
msmarco-passage-trec-dl-2019,359349,balanced,2048,1024,1024,0.5,0,100,1,-inf,1630,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,balanced,4096,2048,2048,0.5,0,100,1,-inf,3613,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,balanced,8192,4096,4096,0.5,0,100,1,-inf,7657,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
