dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
nfcorpus,0,PLAIN-1309,10,10,0.0,0.0,0,0.5
nfcorpus,0,PLAIN-1309,20,20,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,50,50,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,100,100,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,200,200,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,500,500,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,1000,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,2000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1309,5000,3633,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1320,10,20,0.22578419899983798,0.18833918526767934,0,0.65
nfcorpus,0,PLAIN-1320,20,40,0.09546043308946735,0.18833918526767934,0,0.7
nfcorpus,0,PLAIN-1320,50,100,0.18833918526767934,0.18833918526767934,0,0.8
nfcorpus,0,PLAIN-1320,100,200,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-1320,200,400,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-1320,500,1000,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-1320,1000,2000,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-1320,2000,4000,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-1320,5000,6074,0.18833918526767934,0.18833918526767934,1,1.0
nfcorpus,0,PLAIN-133,10,20,0.10327064981393905,0.19213550754721007,0,0.6
nfcorpus,0,PLAIN-133,20,40,0.10327064981393905,0.19213550754721007,0,0.6
nfcorpus,0,PLAIN-133,50,100,0.11496943328345771,0.19213550754721007,0,0.75
nfcorpus,0,PLAIN-133,100,200,0.11496943328345771,0.19213550754721007,0,0.75
nfcorpus,0,PLAIN-133,200,400,0.19213550754721007,0.19213550754721007,0,0.8
nfcorpus,0,PLAIN-133,500,1000,0.19213550754721007,0.19213550754721007,0,0.85
nfcorpus,0,PLAIN-133,1000,1697,0.19213550754721007,0.19213550754721007,0,0.95
nfcorpus,0,PLAIN-133,2000,2697,0.19213550754721007,0.19213550754721007,0,0.95
nfcorpus,0,PLAIN-133,5000,4330,0.19213550754721007,0.19213550754721007,1,1.0
nfcorpus,0,PLAIN-1331,10,13,0.0,0.0,0,0.65
nfcorpus,0,PLAIN-1331,20,23,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,50,53,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,100,103,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,200,203,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,500,503,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,1000,1003,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1331,2000,2003,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1331,5000,3636,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1342,10,20,0.41528076708874123,0.545155778742082,0,0.6
nfcorpus,0,PLAIN-1342,20,40,0.545155778742082,0.545155778742082,0,0.75
nfcorpus,0,PLAIN-1342,50,100,0.545155778742082,0.545155778742082,0,0.95
nfcorpus,0,PLAIN-1342,100,162,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1342,200,262,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1342,500,562,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1342,1000,1062,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1342,2000,2062,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1342,5000,3695,0.545155778742082,0.545155778742082,1,1.0
nfcorpus,0,PLAIN-1353,10,12,0.0,0.0,0,0.55
nfcorpus,0,PLAIN-1353,20,22,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1353,50,52,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1353,100,102,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1353,200,202,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1353,500,502,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1353,1000,1002,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1353,2000,2002,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1353,5000,3635,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1363,10,11,0.3647442587311445,0.3647442587311445,0,0.5
