dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,1223,799,424,1,cap100,100,100,100,20,0.9668446814705784,0.9668446814705784,178,1,178,0.0244832038879394,178.0,178.0,0.9668446814705784,156493,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,9503,497,1,budget,43,43,43,20,0.7608046694978651,0.7608046694978651,89,1,89,0.1022641658782959,89.0,89.0,0.7608046694978651,182539,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,5893,4107,1,budget,15,15,15,15,0.1899493779221958,0.1899493779221958,402879,1,10000,3.781474113464355,402879.0,10000.0,0.1899493779221958,443396,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.0225551128387451,116.0,116.0,0.5724624301728537,490595,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,7080,2920,1,budget,39,39,39,20,0.7888099091970884,0.7888099091970884,916,1,916,0.1020619869232177,916.0,916.0,0.7888099091970884,833860,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,9610,390,1,budget,47,47,47,20,0.728914320877073,0.728914320877073,1079,1,1079,0.1011440753936767,1079.0,1079.0,0.728914320877073,962179,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,6653,3347,1,budget,50,50,50,20,0.722361082584816,0.722361082584816,344,1,344,0.200510025024414,344.0,344.0,0.722361082584816,1115776,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,9739,261,1,budget,39,39,39,20,0.977270778638806,0.977270778638806,192,1,192,0.1979069709777832,192.0,192.0,0.977270778638806,1117099,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,6991,3009,1,budget,11,11,11,11,0.4469020446148979,0.5520479356236625,123288,1,10000,1.6901321411132812,123288.0,10000.0,0.4469020446148979,1121709,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,6294,3706,1,budget,45,45,45,20,0.6756767456295956,0.6756767456295956,378,1,378,0.114952802658081,378.0,378.0,0.6756767456295956,1129237,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,8342,1658,1,budget,77,77,77,20,0.4375478891993805,0.4375478891993805,297,1,297,0.1032497882843017,297.0,297.0,0.4375478891993805,451602,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,6857,6451,406,1,cap100,100,100,100,20,0.6904651289294221,0.6904651289294221,152,1,152,0.0741350650787353,152.0,152.0,0.6904651289294221,573724,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,5899,4101,1,budget,6,6,6,6,1.0,1.0,3533518,1,10000,34.96776509284973,3533518.0,10000.0,1.0,855410,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,791,9209,1,budget,60,60,60,20,0.4851031845859314,0.4851031845859314,158,1,158,0.1016960144042968,158.0,158.0,0.4851031845859314,87452,10000,0.99,1
