dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,2,8192,20,blocker_zero,5000,3192,8192,7313,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,8192,100,blocker_zero,5000,3192,8192,7313,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,8192,20,blocker_cert,5000,3192,8192,7313,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,8192,100,blocker_cert,5000,3192,8192,7313,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,10000,20,fixed_topL_zero,5000,5000,10000,8983,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,10000,100,fixed_topL_zero,5000,5000,10000,8983,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,10000,20,balanced_zero,5000,5000,10000,8983,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,10000,100,balanced_zero,5000,5000,10000,8983,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,10000,20,balanced_cert,5000,5000,10000,8983,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,10000,100,balanced_cert,5000,5000,10000,8983,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,10000,20,blocker_zero,5000,5000,10000,8983,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,10000,100,blocker_zero,5000,5000,10000,8983,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,10000,20,blocker_cert,5000,5000,10000,8983,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,10000,100,blocker_cert,5000,5000,10000,8983,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,3,128,20,fixed_topL_zero,64,64,128,120,20,0,1,0,0.3,0,0.6902136533001978,0.04580152671755725
trec-covid-chrono-r1,3,128,100,fixed_topL_zero,64,64,128,120,100,0,1,0,0.3,0,0.6902136533001978,0.16412213740458015
trec-covid-chrono-r1,3,128,20,balanced_zero,64,64,128,120,20,0,1,0,0.3,0,0.6902136533001978,0.04580152671755725
trec-covid-chrono-r1,3,128,100,balanced_zero,64,64,128,120,100,0,1,0,0.3,0,0.6902136533001978,0.16412213740458015
trec-covid-chrono-r1,3,128,20,balanced_cert,64,64,128,120,2,0,0,0,0.2,0,0.3589542101716347,0.007633587786259542
trec-covid-chrono-r1,3,128,100,balanced_cert,64,64,128,120,2,0,0,0,0.2,0,0.3589542101716347,0.007633587786259542
trec-covid-chrono-r1,3,128,20,blocker_zero,64,64,128,120,20,0,1,0,0.3,0,0.6902136533001978,0.04580152671755725
trec-covid-chrono-r1,3,128,100,blocker_zero,64,64,128,120,100,0,1,0,0.3,0,0.6902136533001978,0.16412213740458015
trec-covid-chrono-r1,3,128,20,blocker_cert,64,64,128,120,2,0,0,0,0.2,0,0.3589542101716347,0.007633587786259542
trec-covid-chrono-r1,3,128,100,blocker_cert,64,64,128,120,2,0,0,0,0.2,0,0.3589542101716347,0.007633587786259542
trec-covid-chrono-r1,3,256,20,fixed_topL_zero,128,128,256,235,20,0,1,0,0.9,0,0.6909102773096933,0.061068702290076333
trec-covid-chrono-r1,3,256,100,fixed_topL_zero,128,128,256,235,100,0,1,0,0.9,0,0.6909102773096933,0.16412213740458015
trec-covid-chrono-r1,3,256,20,balanced_zero,128,128,256,235,20,0,1,0,0.9,0,0.6909102773096933,0.061068702290076333
trec-covid-chrono-r1,3,256,100,balanced_zero,128,128,256,235,100,0,1,0,0.9,0,0.6909102773096933,0.16412213740458015
trec-covid-chrono-r1,3,256,20,balanced_cert,128,128,256,235,9,0,0,0,0.9,0,0.6697033479100428,0.026717557251908396
trec-covid-chrono-r1,3,256,100,balanced_cert,128,128,256,235,9,0,0,0,0.9,0,0.6697033479100428,0.026717557251908396
trec-covid-chrono-r1,3,256,20,blocker_zero,128,128,256,235,20,0,1,0,0.9,0,0.6909102773096933,0.061068702290076333
trec-covid-chrono-r1,3,256,100,blocker_zero,128,128,256,235,100,0,1,0,0.9,0,0.6909102773096933,0.16412213740458015
trec-covid-chrono-r1,3,256,20,blocker_cert,128,128,256,235,9,0,0,0,0.9,0,0.6697033479100428,0.026717557251908396
trec-covid-chrono-r1,3,256,100,blocker_cert,128,128,256,235,9,0,0,0,0.9,0,0.6697033479100428,0.026717557251908396
trec-covid-chrono-r1,3,512,20,fixed_topL_zero,256,256,512,465,20,0,1,1,1.0,0,0.7333241361089944,0.0648854961832061
trec-covid-chrono-r1,3,512,100,fixed_topL_zero,256,256,512,465,100,0,1,1,1.0,0,0.7333241361089944,0.17557251908396945
trec-covid-chrono-r1,3,512,20,balanced_zero,256,256,512,465,20,0,1,1,1.0,0,0.7333241361089944,0.0648854961832061
trec-covid-chrono-r1,3,512,100,balanced_zero,256,256,512,465,100,0,1,1,1.0,0,0.7333241361089944,0.17557251908396945
trec-covid-chrono-r1,3,512,20,balanced_cert,256,256,512,465,14,0,1,1,1.0,0,0.7333241361089944,0.04580152671755725
trec-covid-chrono-r1,3,512,100,balanced_cert,256,256,512,465,14,0,1,1,1.0,0,0.7333241361089944,0.04580152671755725
trec-covid-chrono-r1,3,512,20,blocker_zero,320,192,512,468,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
trec-covid-chrono-r1,3,512,100,blocker_zero,320,192,512,468,100,0,1,1,1.0,0,0.7333241361089944,0.17557251908396945
trec-covid-chrono-r1,3,512,20,blocker_cert,320,192,512,468,15,0,1,1,1.0,0,0.7333241361089944,0.04961832061068702
trec-covid-chrono-r1,3,512,100,blocker_cert,320,192,512,468,15,0,1,1,1.0,0,0.7333241361089944,0.04961832061068702
trec-covid-chrono-r1,3,1024,20,fixed_topL_zero,512,512,1024,908,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
trec-covid-chrono-r1,3,1024,100,fixed_topL_zero,512,512,1024,908,100,0,1,1,1.0,0,0.7333241361089944,0.1717557251908397
trec-covid-chrono-r1,3,1024,20,balanced_zero,512,512,1024,908,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
trec-covid-chrono-r1,3,1024,100,balanced_zero,512,512,1024,908,100,0,1,1,1.0,0,0.7333241361089944,0.1717557251908397
trec-covid-chrono-r1,3,1024,20,balanced_cert,512,512,1024,908,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
trec-covid-chrono-r1,3,1024,100,balanced_cert,512,512,1024,908,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
trec-covid-chrono-r1,3,1024,20,blocker_zero,640,384,1024,910,20,0,1,1,1.0,0,0.7333241361089944,0.061068702290076333
