dataset,query_id,policy,work_budget,dense_depth,sparse_depth,actual_work,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,256,128,128,256,0.5,0,25,0,-0.0003674570471048355,223,0.7468404933801904,0.7468404933801904,1.0,0.7857142857142857,0.9642857142857143,0.8148148148148148
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,512,320,192,512,0.625,128,29,0,-7.093697786331177e-05,458,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,1024,704,320,1024,0.6875,384,32,0,-0.0006450172513723373,936,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,2048,1664,384,2048,0.8125,1280,33,0,-0.0005473718047142029,1917,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,4096,3648,448,4096,0.890625,3200,33,0,-0.00023701228201389313,3923,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,8192,5000,3192,8192,0.6103515625,1808,33,0,-0.00016495399177074432,7306,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,130510,allocation-grid-oracle,10000,5000,5000,10000,0.5,0,33,0,-0.00016495399177074432,8883,0.7468404933801904,0.7468404933801904,1.0,0.8571428571428571,0.9642857142857143,0.8888888888888888
msmarco-passage-trec-dl-2019,489204,balanced,128,64,64,128,0.5,0,4,0,-0.0006158854812383652,117,0.315450506619481,0.33565433467531713,0.9398076355087754,0.041666666666666664,0.17708333333333334,0.2352941176470588
msmarco-passage-trec-dl-2019,489204,balanced,256,128,128,256,0.5,0,7,0,-0.00013896822929382324,225,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,balanced,512,256,256,512,0.5,0,10,0,-0.0001988094300031662,451,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,balanced,1024,512,512,1024,0.5,0,21,0,-0.00012992508709430695,880,0.33565433467531713,0.33565433467531713,1.0,0.08333333333333333,0.17708333333333334,0.4705882352941176
msmarco-passage-trec-dl-2019,489204,balanced,2048,1024,1024,2048,0.5,0,24,0,-5.963630974292755e-05,1714,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,balanced,4096,2048,2048,4096,0.5,0,26,0,-0.0002935584634542465,3266,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,balanced,8192,4096,4096,8192,0.5,0,28,0,-0.00016493722796440125,6544,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,balanced,10000,5000,5000,10000,0.5,0,28,0,-0.00012194924056529999,8076,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,blocker,128,64,64,128,0.5,0,4,0,-0.0006158854812383652,117,0.315450506619481,0.33565433467531713,0.9398076355087754,0.041666666666666664,0.17708333333333334,0.2352941176470588
msmarco-passage-trec-dl-2019,489204,blocker,256,128,128,256,0.5,0,7,0,-0.00013896822929382324,225,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,blocker,512,256,256,512,0.5,0,10,0,-0.0001988094300031662,451,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,blocker,1024,384,640,1024,0.375,256,22,0,-0.0003998018801212311,903,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,blocker,2048,640,1408,2048,0.3125,768,26,0,-0.0005003735423088074,1748,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,blocker,4096,1088,3008,4096,0.265625,1920,28,0,-0.0002749767154455185,3379,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,blocker,8192,3192,5000,8192,0.3896484375,1808,28,0,-0.00012194924056529999,6644,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,blocker,10000,5000,5000,10000,0.5,0,28,0,-0.00012194924056529999,8076,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,pressure,128,64,64,128,0.5,0,4,0,-0.0006158854812383652,117,0.315450506619481,0.33565433467531713,0.9398076355087754,0.041666666666666664,0.17708333333333334,0.2352941176470588
msmarco-passage-trec-dl-2019,489204,pressure,256,128,128,256,0.5,0,7,0,-0.00013896822929382324,225,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,pressure,512,256,256,512,0.5,0,10,0,-0.0001988094300031662,451,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,pressure,1024,448,576,1024,0.4375,128,22,0,-0.0005135275423526764,891,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,pressure,2048,704,1344,2048,0.34375,640,26,0,-0.0005314256995916367,1735,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,pressure,4096,1088,3008,4096,0.265625,1920,28,0,-0.0002749767154455185,3379,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,pressure,8192,3192,5000,8192,0.3896484375,1808,28,0,-0.00012194924056529999,6644,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,pressure,10000,5000,5000,10000,0.5,0,28,0,-0.00012194924056529999,8076,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,128,64,64,128,0.5,0,4,0,-0.0006158854812383652,117,0.315450506619481,0.33565433467531713,0.9398076355087754,0.041666666666666664,0.17708333333333334,0.2352941176470588
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,256,128,128,256,0.5,0,7,0,-0.00013896822929382324,225,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,512,256,256,512,0.5,0,10,0,-0.0001988094300031662,451,0.33565433467531713,0.33565433467531713,1.0,0.052083333333333336,0.17708333333333334,0.29411764705882354
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,1024,384,640,1024,0.375,256,22,0,-0.0003998018801212311,903,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,2048,640,1408,2048,0.3125,768,26,0,-0.0005003735423088074,1748,0.33565433467531713,0.33565433467531713,1.0,0.09375,0.17708333333333334,0.5294117647058824
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,4096,1088,3008,4096,0.265625,1920,28,0,-0.0002749767154455185,3379,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,8192,3192,5000,8192,0.3896484375,1808,28,0,-0.00012194924056529999,6644,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,489204,allocation-grid-oracle,10000,5000,5000,10000,0.5,0,28,0,-0.00012194924056529999,8076,0.33565433467531713,0.33565433467531713,1.0,0.10416666666666667,0.17708333333333334,0.5882352941176471
msmarco-passage-trec-dl-2019,573724,balanced,128,64,64,128,0.5,0,18,0,-0.0008675474673509598,89,0.44917869508352665,0.44917869508352665,1.0,0.2608695652173913,0.7971014492753623,0.32727272727272727
msmarco-passage-trec-dl-2019,573724,balanced,256,128,128,256,0.5,0,25,0,-0.00028748251497745514,177,0.44917869508352665,0.44917869508352665,1.0,0.30434782608695654,0.7971014492753623,0.38181818181818183
msmarco-passage-trec-dl-2019,573724,balanced,512,256,256,512,0.5,0,66,0,-5.784817039966583e-05,399,0.44917869508352665,0.44917869508352665,1.0,0.6521739130434783,0.7971014492753623,0.8181818181818182
msmarco-passage-trec-dl-2019,573724,balanced,1024,512,512,1024,0.5,0,76,0,-1.724623143672943e-05,879,0.44917869508352665,0.44917869508352665,1.0,0.7246376811594203,0.7971014492753623,0.9090909090909091
msmarco-passage-trec-dl-2019,573724,balanced,2048,1024,1024,2048,0.5,0,82,0,-6.479676812887192e-05,1853,0.44917869508352665,0.44917869508352665,1.0,0.7536231884057971,0.7971014492753623,0.9454545454545454
msmarco-passage-trec-dl-2019,573724,balanced,4096,2048,2048,4096,0.5,0,91,0,-7.843691855669022e-05,3757,0.44917869508352665,0.44917869508352665,1.0,0.782608695652174,0.7971014492753623,0.9818181818181819
